Achitecture,Base Clock,Base Power,Gen,IGPU Frequency,Launch Date,Link,Max Boost Clock,Max Power,Memory Channels,Memory Type,Name,Series,Total Cache,Total Cores,Total Threads
14,0.6,7,5,900,Q1'15,https://www.intel.com/content/www/us/en/products/sku/85212/intel-core-i55200u-processor-3m-cache-up-to-2-70-ghz/specifications.html,2.7,15,,3,i5-5200U,5th Generation Intel® Core™ i5 Processors,3,2,4.0
22,3.4,0,5,1000,Q2'13,https://www.intel.com/content/www/us/en/products/sku/75048/intel-core-i54670k-processor-6m-cache-up-to-3-80-ghz/specifications.html,3.8,0,,3,i5-4670K,4th Generation Intel® Core™ i5 Processors,6,4,4.0
22,3.6,0,3,1000,Q3'13,https://www.intel.com/content/www/us/en/products/sku/77771/intel-core-i34340-processor-4m-cache-3-60-ghz/specifications.html,3.6,0,,3,i3-4340,4th Generation Intel® Core™ i3 Processors,4,2,4.0
14,3.3,0,5,1000,Q2'20,https://www.intel.com/content/www/us/en/products/sku/199273/intel-core-i510600-processor-12m-cache-up-to-4-80-ghz/specifications.html,4.8,0,,4,i5-10600,10th Generation Intel® Core™ i5 Processors,12,6,12.0
14,4.0,0,7,1000,Q2'18,https://www.intel.com/content/www/us/en/products/sku/148263/intel-core-i78086k-processor-12m-cache-up-to-5-00-ghz/specifications.html,5.0,0,,4,i7-8086K,8th Generation Intel® Core™ i7 Processors,12,6,12.0
7,4.6,55,5,1000,Q2'22,https://www.intel.com/content/www/us/en/products/sku/228438/intel-core-i512600hx-processor-18m-cache-up-to-4-60-ghz/specifications.html,4.6,157,,5,i5-12600HX,12th Generation Intel® Core™ i5 Processors,18,12,16.0
7,2.4,125,9,1000,Q4'23,https://www.intel.com/content/www/us/en/products/sku/236773/intel-core-i9-processor-14900k-36m-cache-up-to-6-00-ghz/specifications.html,5.6,253,,5,i9-14900K,Intel® Core™ i9 Processors (14th gen),36,24,32.0
14,0.8,7,5,1000,Q3'15,https://www.intel.com/content/www/us/en/products/sku/88190/intel-core-i56300u-processor-3m-cache-up-to-3-00-ghz/specifications.html,3.0,25,,4,i5-6300U,6th Generation Intel® Core™ i5 Processors,3,2,4.0
14,2.0,9,5,1000,Q3'15,https://www.intel.com/content/www/us/en/products/sku/91156/intel-core-i56360u-processor-4m-cache-up-to-3-10-ghz/specifications.html,3.1,15,,4,i5-6360U,6th Generation Intel® Core™ i5 Processors,4,2,4.0
14,3.5,0,5,1000,Q3'15,https://www.intel.com/content/www/us/en/products/sku/88191/intel-core-i56600k-processor-6m-cache-up-to-3-90-ghz/specifications.html,3.9,0,,4,i5-6600K,6th Generation Intel® Core™ i5 Processors,6,4,4.0
14,2.5,0,7,0,Q1'21,https://www.intel.com/content/www/us/en/products/sku/212280/intel-core-i711700f-processor-16m-cache-up-to-4-90-ghz/specifications.html,4.9,0,,4,i7-11700F,11th Generation Intel® Core™ i7 Processors,16,8,16.0
7,4.4,65,5,0,Q1'22,https://www.intel.com/content/www/us/en/products/sku/134587/intel-core-i512400f-processor-18m-cache-up-to-4-40-ghz/specifications.html,4.4,117,,5,i5-12400F,12th Generation Intel® Core™ i5 Processors,18,6,12.0
7,4.6,15,5,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/232143/intel-core-i51334u-processor-12m-cache-up-to-4-60-ghz/specifications.html,4.6,55,,5,i5-1334U,13th Generation Intel® Core™ i5 Processors,12,10,12.0
10,1.1,12,5,1000,Q3'20,https://www.intel.com/content/www/us/en/products/sku/208078/intel-core-i51145gre-processor-8m-cache-up-to-4-10-ghz/specifications.html,4.1,28,,4,i5-1145GRE,11th Generation Intel® Core™ i5 Processors,8,4,8.0
7,4.6,28,5,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/232126/intel-core-i51340p-processor-12m-cache-up-to-4-60-ghz/specifications.html,4.6,64,,5,i5-1340P,13th Generation Intel® Core™ i5 Processors,12,12,16.0
14,2.7,0,7,1000,Q2'15,https://www.intel.com/content/www/us/en/products/sku/87719/intel-core-i75850hq-processor-6m-cache-up-to-3-60-ghz/specifications.html,3.6,0,,3,i7-5850HQ,5th Generation Intel® Core™ i7 Processors,6,4,8.0
14,0.6,37,7,1000,Q2'15,https://www.intel.com/content/www/us/en/products/sku/87716/intel-core-i75700hq-processor-6m-cache-up-to-3-50-ghz/specifications.html,3.5,47,,3,i7-5700HQ,5th Generation Intel® Core™ i7 Processors,6,4,8.0
7,4.8,45,7,1000,Q1'22,https://www.intel.com/content/www/us/en/products/sku/226059/intel-core-i712800h-processor-24m-cache-up-to-4-80-ghz/specifications.html,4.8,115,,5,i7-12800H,12th Generation Intel® Core™ i7 Processors,24,14,20.0
7,1.5,65,7,1000,Q1'24,https://www.intel.com/content/www/us/en/products/sku/236781/intel-core-i7-processor-14700-33m-cache-up-to-5-40-ghz/specifications.html,5.3,219,,5,i7-14700,Intel® Core™ i7 Processors (14th gen),33,20,28.0
22,1.5,0,5,850,Q3'13,https://www.intel.com/content/www/us/en/products/sku/76611/intel-core-i54210y-processor-3m-cache-up-to-1-90-ghz/specifications.html,1.9,0,,3,i5-4210Y,4th Generation Intel® Core™ i5 Processors,3,2,4.0
7,2.4,125,9,0,Q4'21,https://www.intel.com/content/www/us/en/products/sku/134600/intel-core-i912900kf-processor-30m-cache-up-to-5-20-ghz/specifications.html,5.1,241,,5,i9-12900KF,12th Generation Intel® Core™ i9 Processors,30,16,24.0
14,0.8,7,3,1000,Q3'16,https://www.intel.com/content/www/us/en/products/sku/95442/intel-core-i37100u-processor-3m-cache-2-40-ghz/specifications.html,0.8,15,,4,i3-7100U,7th Generation Intel® Core™ i3 Processors,3,2,4.0
14,2.8,0,5,1000,Q1'18,https://www.intel.com/content/www/us/en/products/sku/130408/intel-core-i58305g-processor-with-radeon-rx-vega-m-gl-graphics-6m-cache-up-to-3-80-ghz/specifications.html,3.8,0,,4,i5-8305G,8th Generation Intel® Core™ i5 Processors,6,4,8.0
22,3.4,0,7,1000,Q2'13,https://www.intel.com/content/www/us/en/products/sku/75122/intel-core-i74770-processor-8m-cache-up-to-3-90-ghz/specifications.html,3.9,0,,3,i7-4770,4th Generation Intel® Core™ i7 Processors,8,4,8.0
22,2.6,0,5,1000,Q4'13,https://www.intel.com/content/www/us/en/products/sku/76347/intel-core-i54300m-processor-3m-cache-up-to-3-30-ghz/specifications.html,3.3,0,,3,i5-4300M,4th Generation Intel® Core™ i5 Processors,3,2,4.0
7,1.0,35,7,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/230492/intel-core-i713700t-processor-30m-cache-up-to-4-90-ghz/specifications.html,4.8,106,,5,i7-13700T,13th Generation Intel® Core™ i7 Processors,30,16,24.0
7,4.7,15,7,1000,Q1'22,https://www.intel.com/content/www/us/en/products/sku/227853/intel-core-i71265ue-processor-12m-cache-up-to-4-70-ghz/specifications.html,4.7,55,,5,i7-1265UE,12th Generation Intel® Core™ i7 Processors,12,10,12.0
0,1.2,15,7,1000,Q4'23,https://www.intel.com/content/www/us/en/products/sku/237327/intel-core-ultra-7-processor-155u-12m-cache-up-to-4-80-ghz/specifications.html,4.8,57,,5,155U,Intel® Core™ Ultra processors (Series 1),12,12,14.0
14,3.7,0,3,1000,Q3'15,https://www.intel.com/content/www/us/en/products/sku/90729/intel-core-i36100-processor-3m-cache-3-70-ghz/specifications.html,3.7,0,,4,i3-6100,6th Generation Intel® Core™ i3 Processors,3,2,4.0
14,3.6,0,5,1000,Q4'17,https://www.intel.com/content/www/us/en/products/sku/126685/intel-core-i58600k-processor-9m-cache-up-to-4-30-ghz/specifications.html,4.3,0,,4,i5-8600K,8th Generation Intel® Core™ i5 Processors,9,6,6.0
7,4.5,28,7,1000,Q1'22,https://www.intel.com/content/www/us/en/products/sku/132217/intel-core-i71270pe-processor-18m-cache-up-to-4-50-ghz/specifications.html,4.5,64,,5,i7-1270PE,12th Generation Intel® Core™ i7 Processors,18,12,16.0
22,2.5,0,7,1000,Q2'14,https://www.intel.com/content/www/us/en/products/sku/78930/intel-core-i74710hq-processor-6m-cache-up-to-3-50-ghz/specifications.html,3.5,0,,3,i7-4710HQ,4th Generation Intel® Core™ i7 Processors,6,4,8.0
14,2.3,0,5,1000,Q2'20,https://www.intel.com/content/www/us/en/products/sku/203891/intel-core-i510500te-processor-12m-cache-up-to-3-70-ghz/specifications.html,3.7,0,,4,i5-10500TE,10th Generation Intel® Core™ i5 Processors,12,6,12.0
7,2.5,125,7,1000,Q4'23,https://www.intel.com/content/www/us/en/products/sku/236783/intel-core-i7-processor-14700k-33m-cache-up-to-5-60-ghz/specifications.html,5.5,253,,5,i7-14700K,Intel® Core™ i7 Processors (14th gen),33,20,28.0
14,2.3,9,5,1000,Q1'17,https://www.intel.com/content/www/us/en/products/sku/97535/intel-core-i57360u-processor-4m-cache-up-to-3-60-ghz/specifications.html,3.6,15,,4,i5-7360U,7th Generation Intel® Core™ i5 Processors,4,2,4.0
14,2.2,37,7,1000,Q2'15,https://www.intel.com/content/www/us/en/products/sku/88040/intel-core-i75775c-processor-6m-cache-up-to-3-70-ghz/specifications.html,3.7,65,,3,i7-5775C,5th Generation Intel® Core™ i7 Processors,6,4,8.0
14,2.5,0,5,1000,Q3'15,https://www.intel.com/content/www/us/en/products/sku/88183/intel-core-i56500t-processor-6m-cache-up-to-3-10-ghz/specifications.html,3.1,0,,4,i5-6500T,6th Generation Intel® Core™ i5 Processors,6,4,4.0
7,5.0,28,7,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/232155/intel-core-i71360p-processor-18m-cache-up-to-5-00-ghz/specifications.html,5.0,64,,5,i7-1360P,13th Generation Intel® Core™ i7 Processors,18,12,16.0
14,4.2,0,7,1000,Q1'17,https://www.intel.com/content/www/us/en/products/sku/97129/intel-core-i77700k-processor-8m-cache-up-to-4-50-ghz/specifications.html,4.5,0,,4,i7-7700K,7th Generation Intel® Core™ i7 Processors,8,4,8.0
7,1.8,65,9,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/232099/intel-core-i913900e-processor-36m-cache-up-to-5-20-ghz/specifications.html,5.2,65,,5,i9-13900E,13th Generation Intel® Core™ i9 Processors,36,24,32.0
