iter	RMSE
0	871.8308209
1	854.1357039
2	836.9036187
3	817.2658583
4	800.2034157
5	783.2999764
6	767.8244615
7	751.3776836
8	736.7798379
9	722.0821091
10	708.6946536
11	694.4446988
12	680.8978904
13	667.4572575
14	654.7172258
15	642.3067109
16	629.2817693
17	617.7579123
18	607.3491957
19	598.3964371
20	589.6687643
21	580.9403899
22	572.2368294
23	561.6080382
24	552.5477834
25	545.0560957
26	536.2681493
27	528.2391129
28	520.6251242
29	513.1420847
30	506.1763836
31	499.5647766
32	493.1396687
33	487.8739159
34	481.4950303
35	475.4557465
36	469.6466265
37	464.4822067
38	458.892332
39	452.750705
40	446.9856957
41	442.3067446
42	436.7464409
43	432.3205204
44	427.8730473
45	423.9655726
46	419.5857817
47	415.3227227
48	411.4190982
49	407.2433516
50	403.7146315
51	400.0034978
52	396.9359463
53	393.489671
54	389.7522851
55	386.524474
56	382.7173703
57	379.9620963
58	376.1639821
59	373.2977217
60	370.0314866
61	367.1239555
62	364.6447797
63	361.9562744
64	359.2907102
65	356.4585137
66	353.8276024
67	351.305692
68	349.1070966
69	346.9648432
70	344.9052106
71	342.7117506
72	340.5942053
73	338.7579047
74	336.4577292
75	334.7676039
76	333.3965286
77	331.3611354
78	329.2327469
79	327.2430698
80	325.046057
81	323.0433238
82	321.3122696
83	319.3536884
84	317.20571
85	315.7088453
86	314.585014
87	313.3770972
88	312.1764544
89	310.0932655
90	308.5292372
91	307.4666606
92	306.3726712
93	304.6271566
94	303.1573318
95	302.2842519
96	300.6686484
97	299.5420701
98	298.8333323
99	297.3725895
100	296.0479528
101	294.886482
102	293.6263368
103	292.0987154
104	290.3573114
105	289.3337762
106	288.321354
107	286.6855301
108	285.833498
109	284.9830522
110	284.0898082
111	283.3791868
112	282.4249287
113	281.2267844
114	280.3307812
115	278.8713574
116	278.2448151
117	277.2126491
118	276.1065839
119	275.6148476
120	274.9436346
121	274.5725689
122	273.4115819
123	272.5273528
124	271.9082344
125	271.1180528
126	270.3359591
127	269.6234827
128	268.8889921
129	267.857785
130	267.0280929
131	266.1184245
132	265.1722733
133	264.8399046
134	263.9580993
135	263.154121
136	262.3644403
137	261.7745735
138	261.0814608
139	260.3649665
140	259.2679617
141	258.7400049
142	258.0559014
143	257.1586618
144	256.3372197
145	255.0069262
146	253.7291739
147	253.4081623
148	252.4792277
149	251.9210247
150	251.5344849
151	250.4737481
152	249.8919074
153	248.7425068
154	247.4286464
155	246.6080423
156	246.2417083
157	245.8557979
158	245.5157768
159	244.4588082
160	243.8359786
161	243.2371665
162	242.6475198
163	242.5469646
164	242.0832168
165	241.8102717
166	241.2002032
167	240.389502
168	240.081412
169	239.7482699
170	239.4479364
171	238.9510215
172	238.0377436
173	237.4948126
174	236.8752039
175	235.9706692
176	235.3514515
177	234.7483026
178	234.3589246
179	233.5935416
180	232.9201655
181	232.1728283
182	232.0024714
183	231.5460372
184	231.0645433
185	230.5574317
186	230.4927741
187	230.0417824
