iter	RMSE
188	229.9763488
189	229.1897204
190	228.7031229
191	227.8522329
192	227.8211511
193	227.283871
194	226.6381732
195	226.4582438
196	226.1111064
197	225.8781425
198	225.16915
199	224.9073857
200	224.1450779
201	223.0915987
202	222.5386959
203	222.5007435
204	221.848581
205	220.9876982
206	220.6561441
207	220.2511981
208	219.6832813
209	219.2864812
210	218.9401932
211	218.5746703
212	217.6839931
213	217.344424
214	217.0541635
215	216.7763228
216	216.454859
217	216.1168812
218	215.7363492
219	215.096979
220	214.855997
221	214.5398037
222	213.9303805
223	213.6510329
224	213.3484791
225	212.7470143
226	212.2154442
227	211.8257338
228	211.2108007
229	210.9996626
230	210.5684551
231	210.2299542
232	210.0380383
233	209.650683
234	209.080079
235	208.6923845
236	208.45807
237	207.9909199
238	207.2399201
239	206.6735162
240	206.1961939
241	206.0052477
242	205.5331001
243	205.2009983
244	204.3909676
245	204.0656323
246	203.5580988
247	203.1511463
248	202.9490289
249	202.7253908
250	202.0102732
251	201.5440927
252	200.9494424
253	200.7780436
254	200.6044402
255	200.112937
256	199.8341042
257	199.7458103
258	199.2739687
259	199.0321458
260	198.2989564
261	198.0396539
262	197.7631193
263	197.3888529
264	197.0176457
265	196.8776006
266	196.2880299
267	195.7261534
268	195.4159296
269	195.0517039
270	194.2917886
271	194.0720413
272	193.6928248
273	193.1844351
274	192.7464069
275	192.0791373
276	191.4395503
277	191.1161251
278	190.8600363
279	190.537021
280	189.8400541
281	189.5417833
282	189.3585869
283	189.2658084
284	188.8550589
285	187.9554962
286	187.3441118
287	186.7547487
288	186.1462128
289	185.524533
290	185.220369
291	185.0272087
292	184.5308022
293	184.0970221
294	183.643644
295	183.0245302
296	182.7549934
297	182.3237458
298	182.2146824
299	181.8978694
300	181.1649063
301	180.8492247
302	180.6928757
303	180.4327597
304	179.8415281
305	179.6876113
306	179.5870101
307	179.41631
308	179.1741664
309	178.5231413
310	178.3209102
311	178.2345556
312	177.5646645
313	176.9507775
314	176.4543592
315	176.200836
316	175.9744204
317	175.4549473
318	174.833745
319	174.4209976
320	173.963977
321	173.6219576
322	173.098518
323	172.7773465
324	172.1152195
325	171.908625
326	171.504606
327	171.0001729
328	170.6662058
329	170.594404
330	170.1571305
331	169.8996048
332	169.4394435
333	169.3692899
334	169.2078327
335	169.1409871
336	168.7150788
337	168.2524995
338	167.7376733
339	167.6241403
340	166.974694
341	166.4661812
342	166.3213673
343	165.8781741
344	165.8171022
345	165.5130091
346	165.4319291
347	165.1203752
348	164.7489597
349	164.3352169
350	164.0448462
351	163.8377789
352	163.6370841
353	163.4105273
354	163.0322854
355	162.618195
356	162.4939207
357	162.3788572
358	162.1148633
359	161.9227623
360	161.6839646
361	161.4082492
362	161.3023719
363	161.2139722
364	161.0188902
365	160.6779221
366	160.319464
367	160.0565451
368	159.661972
369	159.2804704
370	158.9182114
371	158.7935754
372	158.3934466
373	158.1367619
374	157.8499611
375	157.6313705
376	157.1570037
377	157.0356521
378	156.761941
379	156.5961099
380	156.2536439
381	155.9581112
382	155.8294914
383	155.6396419
384	155.4914624
385	155.142392
386	154.9624137
387	154.7868682
388	154.4474868
389	154.339326
390	154.0719748
391	153.967529
392	153.6338774
393	153.0441517
394	152.8033916
395	152.6290151
396	152.3980113
397	152.0888895
398	151.6387626
399	151.1729001
400	150.9739501
401	150.7296337
402	150.5199323
403	150.2389754
404	149.9623164
405	149.699746
406	149.4068795
407	149.2768294
408	148.9565728
409	148.8364249
410	148.7325748
411	148.431411
412	148.0236041
413	147.9800674
414	147.7039946
415	147.646237
416	147.4213239
417	147.206811
418	147.0074986
419	146.8360349
420	146.7549459
421	146.7122077
422	146.4731834
423	146.2266513
424	146.0395025
425	145.6996474
426	145.4072979
427	145.1696332
428	144.9997946
429	144.6626941
430	144.5719417
431	144.343389
432	144.2414483
433	144.0294207
434	143.8242167
435	143.5388759
436	143.2436238
437	143.0987458
438	142.8413495
439	142.6566802
440	142.5982783
441	142.4474639
442	142.071085
443	141.752859
444	141.3054009
445	141.1089351
446	141.0747887
447	140.9731578
448	140.9438947
449	140.7065031
450	140.4294551
451	140.1653463
452	139.9617197
453	139.7103606
454	139.4703895
455	139.3830851
456	139.3352552
457	139.1849638
458	139.0371657
459	138.7918139
460	138.6881191
461	138.5171485
462	138.2539115
463	138.0028867
464	137.8639374
465	137.7000079
466	137.4848797
467	137.2515075
468	137.2238947
469	137.115292
470	136.9871621
471	136.71709
472	136.5775712
473	136.5359606
474	136.2630548
475	135.9694513
476	135.7364283
477	135.5560519
478	135.4292131
479	135.2636725
480	135.056503
481	135.01773
482	134.7886837
483	134.5226505
484	134.4943413
485	134.2993751
486	134.1994741
487	133.9472638
488	133.7252339
489	133.6869635
490	133.5147556
491	133.4290464
492	133.2805218
493	132.8676007
494	132.6847424
495	132.6305645
496	132.4122676
497	131.98139
498	131.7802606
499	131.4303048
500	131.3361826
501	131.2746612
502	131.249722
503	131.0016094
504	130.8316081
505	130.6546784
506	130.554666
507	130.3487226
508	130.229495
509	130.2026349
510	130.1645826
511	130.0040159
512	129.8876995
513	129.7217289
514	129.6653535
515	129.6108721
516	129.4498157
517	129.2783373
518	129.1826165
519	129.0609393
520	129.0135121
521	128.9653003
522	128.93942
523	128.688252
524	128.6388384
525	128.5828291
526	128.5359883
527	128.4570295
528	128.4236192
529	128.3361768
530	128.1294966
531	127.9807033
532	127.8366481
533	127.7778791
534	127.6000806
535	127.3676527
536	127.2536631
537	127.1161127
538	126.8950392
539	126.6298441
540	126.4927155
541	126.4493586
542	126.2617648
543	125.9921769
544	125.9121409
545	125.8577772
546	125.7793749
547	125.5757309
548	125.4783506
549	125.4365983
550	125.2374172
551	125.1540608
552	124.9535289
553	124.8413132
554	124.6060336
555	124.4311781
556	124.3748431
557	124.249322
558	124.1177775
559	123.877982
560	123.7221908
561	123.693305
562	123.4606569
563	123.389332
564	123.1613994
565	123.0375795
566	122.7647805
567	122.5437764
568	122.3893196
569	122.3286269
570	122.318924
571	122.2227585
572	122.0096234
573	121.962222
574	121.8584986
575	121.8104956
576	121.6217382
577	121.4518456
578	121.2908652
579	121.2214798
580	121.0198523
581	120.9465648
582	120.9371877
583	120.7341786
584	120.5629006
585	120.4027691
586	120.3338626
587	120.168825
588	120.037571
589	119.8856
590	119.5462437
591	119.3887939
592	119.2180085
593	119.0908648
594	118.9715099
595	118.8532342
596	118.7674821
597	118.5979638
598	118.5353525
599	118.5221507
600	118.4688412
601	118.3149473
602	118.1828967
603	118.1206346
604	117.9365965
605	117.829509
606	117.6980607
607	117.4970681
608	117.2814895
609	117.1892677
610	117.1282345
611	117.1008192
612	116.9197786
613	116.8146434
614	116.7360228
615	116.5969855
616	116.4540274
617	116.1611239
618	115.9635624
619	115.8863746
620	115.7508914
621	115.5307056
622	115.4485304
623	115.2799434
624	115.1842136
625	115.0063854
626	114.9345398
627	114.8080546
628	114.6572302
629	114.4885636
630	114.4540659
631	114.3541053
632	114.1649422
633	113.9100169
634	113.7644043
635	113.6370876
636	113.34398
637	113.2273114
638	113.190458
639	113.1208971
640	113.091769
641	113.020811
642	112.7987911
643	112.6328082
644	112.498523
645	112.3183545
646	112.2735105
647	112.1199766
648	112.0206945
649	111.9859098
650	111.9307514
651	111.8083538
652	111.6759788
653	111.5668425
654	111.5401827
655	111.4114106
656	111.364848
657	111.2341909
658	111.1491897
659	111.1225856
660	111.0522443
661	111.005844
662	110.8959697
663	110.8737999
664	110.7518834
665	110.669671
666	110.4314033
667	110.3916288
668	110.2306764
669	110.1237176
670	110.0289263
671	109.9166627
672	109.7036922
673	109.4848972
674	109.3749442
675	109.1676952
676	109.0795004
677	108.8473467
678	108.714644
679	108.6305917
680	108.5030245
681	108.3065184
682	108.0735073
683	108.0344777
684	107.8417343
685	107.802772
686	107.6176516
687	107.5502735
688	107.4521626
689	107.298932
690	107.145116
691	107.1403169
692	107.0214603
693	106.9418014
694	106.8376551
695	106.761435
696	106.7218417
697	106.5383421
698	106.521654
699	106.4377205
700	106.1911054
701	106.1669377
702	106.0571935
703	106.0282902
704	105.8399709
705	105.8217516
706	105.7842443
707	105.4772101
708	105.4065724
709	105.3224152
710	105.2848678
711	105.1162093
712	105.1079244
713	105.0326418
714	104.9570053
715	104.8475235
716	104.7748337
717	104.6830604
718	104.6664759
719	104.590933
720	104.5403836
721	104.2464409
722	104.171797
723	104.0740327
724	103.8713193
725	103.7364434
726	103.6772505
727	103.6525593
728	103.4469004
729	103.3304489
730	103.3244316
731	103.1632707
732	103.0365259
733	102.8624319
734	102.8206469
735	102.6863242
736	102.4943631
737	102.4906487
738	102.4641797
739	102.4022522
740	102.3368043
741	102.3335406
742	102.2732261
743	102.0836627
744	102.0492325
745	101.9255077
746	101.8368202
747	101.8081902
748	101.6819924
749	101.640912
750	101.6149468
751	101.4543625
752	101.2898226
753	101.2859952
754	101.2719217
755	101.1466822
756	101.0901277
757	101.0880729
758	101.0840006
759	101.0776722
760	100.9543395
761	100.7938093
762	100.7210451
763	100.6605098
764	100.4838688
765	100.296123
766	100.1614301
767	100.1448709
768	100.0339528
769	99.86619843
770	99.77936418
771	99.64706702
772	99.47022624
773	99.34287591
774	99.21180175
775	99.07654751
776	99.00537963
777	98.87300978
778	98.85365385
779	98.78938417
780	98.70369619
781	98.65701931
782	98.65298755
783	98.48607135
784	98.38241695
785	98.34071573
786	98.26082324
787	98.16821382
788	98.09472215
789	98.02080617
790	97.91159497
791	97.8640262
792	97.8605066
793	97.77868912
794	97.6872577
795	97.58626574
796	97.41716358
797	97.33831434
798	97.16913083
799	97.12803242
800	97.05298712
801	97.02538728
802	96.94227557
803	96.79420586
804	96.74851448
805	96.63938895
806	96.60171471
807	96.59949195
808	96.59555704
809	96.47155437
810	96.31618845
811	96.15863363
812	96.15198749
813	96.01920704
814	95.94525637
815	95.85604372
816	95.72132397
817	95.66306428
818	95.5976947
819	95.47794773
820	95.43820864
821	95.35367667
822	95.31200809
823	95.27746804
824	95.07585415
825	95.05513842
826	94.99006035
827	94.9578739
828	94.86557071
829	94.62106276
830	94.4967845
831	94.36137552
832	94.17760592
833	94.07063387
834	93.92491801
835	93.88427689
836	93.88192728
837	93.87002995
838	93.7630151
839	93.74948361
840	93.64799278
841	93.52994119
842	93.52160425
843	93.51521047
844	93.46030665
845	93.3595491
846	93.29019479
847	93.25275446
848	93.20943639
849	93.07763066
850	93.07519679
851	93.06827141
852	93.00248443
853	92.91072687
854	92.84760919
855	92.81201675
856	92.80971145
857	92.78010379
858	92.73210811
859	92.69509951
860	92.58471753
861	92.43240739
862	92.36196322
863	92.31474117
864	92.19547073
865	92.17210634
866	92.10118812
867	91.93800606
868	91.91525236
869	91.80673476
870	91.72793157
871	91.63121073
872	91.5972532
873	91.39936853
874	91.36420162
875	91.35795288
876	91.32452655
877	91.20770521
878	91.18682995
879	91.13351737
880	91.06785571
881	90.90986368
882	90.89912299
883	90.81477954
884	90.75092166
885	90.67185831
886	90.54398783
887	90.46290268
888	90.4295689
889	90.42074532
890	90.41727543
891	90.29023456
892	90.21703621
893	90.18724297
894	90.16826219
895	90.05592327
896	90.00997884
897	89.89539736
898	89.82607232
899	89.70223658
900	89.54663293
901	89.44250038
902	89.35275407
903	89.34641204
904	89.34273111
905	89.22278047
906	89.09475102
907	89.0676724
908	88.93354303
909	88.85784399
910	88.83449053
911	88.77692875
912	88.71051616
913	88.68541296
914	88.64379987
915	88.59139281
916	88.5609627
917	88.46372239
918	88.40735151
919	88.24284845
920	88.16082519
921	88.15894319
922	88.0684698
923	88.04261295
924	87.91481275
925	87.88800905
926	87.81165837
927	87.76194104
928	87.66631856
929	87.64216187
930	87.64029654
931	87.59657212
932	87.57217982
933	87.57030226
934	87.52326962
935	87.44212991
936	87.42326318
937	87.42136208
938	87.33177784
939	87.29188052
940	87.27261277
941	87.24431276
942	87.17649179
943	87.15936826
944	87.05565501
945	87.02480636
946	86.96209176
947	86.88641283
948	86.88058944
949	86.87865541
950	86.8378013
951	86.82938513
952	86.73349708
953	86.71092662
954	86.61849489
955	86.55539406
956	86.51487709
957	86.45883837
958	86.40899791
959	86.35184752
960	86.3350142
961	86.29501667
962	86.20960695
963	86.07815183
964	86.03727331
965	86.03543892
966	86.0143347
967	85.89848723
968	85.78292178
969	85.67655871
970	85.58695541
971	85.48350106
972	85.48161218
973	85.45290219
974	85.43015022
975	85.38121616
976	85.29090346
977	85.2773264
978	85.17666031
979	85.10125524
980	84.96253376
981	84.96065312
982	84.93233639
983	84.84350851
984	84.77566129
985	84.69715579
986	84.69509092
987	84.6272137
988	84.59880069
989	84.57973767
990	84.56340533
991	84.56160354
992	84.52926812
993	84.4936277
994	84.45456789
995	84.4136258
996	84.32899317
997	84.23571
998	84.16164405
999	84.05764652
