Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
15999000,i5-1334U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,1,15.0,60,11,12.0,1920,1080
15990000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,14.0,30,11,12.0,1920,1080
17999000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,14.0,60,11,12.0,1920,1080
109999000,i9-13950HX,7,24.0,32.0,5.5,5.5,64,5,4.0,4096,1,16.0,3,17.3,240,11,24.0,2560,1600
63999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,1024,1,8.0,3,16.0,240,11,24.0,2560,1600
51799000,i7-14700,7,20.0,28.0,1.5,5.3,32,5,4.0,1024,1,12.0,3,16.0,240,11,12.0,2560,1600
19999000,i5-12450H,7,8.0,12.0,4.4,4.4,64,4,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
54999000,i7-12700H,7,14.0,20.0,4.7,4.7,64,4,4.0,2048,1,8.0,3,16.0,165,11,24.0,2560,1440
16499000,i5-13420H,7,8.0,12.0,4.6,4.6,32,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
29599000,155H,7,16.0,22.0,0.9,4.8,16,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
33999000,i7-13700,7,16.0,24.0,1.5,5.1,16,5,4.0,512,1,8.0,3,16.0,144,11,12.0,1920,1080
93999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,2048,1,16.0,3,18.0,120,11,36.0,3840,2400
51990000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,1024,1,8.0,1,14.0,120,10,24.0,2880,1800
97999000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,24.0,3,16.0,240,11,24.0,2560,1600
46999000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,8.0,3,16.0,240,10,24.0,2560,1600
51999000,i9-13900,7,24.0,32.0,1.5,5.2,32,5,4.0,1024,1,12.0,3,16.0,165,11,36.0,2560,1600
149990000,i9-13980HX,7,24.0,32.0,5.6,5.6,128,5,4.0,4096,1,24.0,3,17.3,144,11,24.0,3840,2160
