Price,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Resolution,Display Frequency,OS
92990000,7,24.0,32.0,1.5,5.4,32,5,5.0,2048,1,16.0,3,18.0,9216000,120,11
109999000,7,24.0,32.0,5.5,5.5,64,5,5.0,4096,1,16.0,3,17.3,4096000,240,11
74990000,7,24.0,32.0,1.5,5.2,64,5,5.0,2048,1,12.0,3,16.0,8294400,120,11
59999000,7,16.0,24.0,1.8,5.0,64,5,5.0,2048,1,12.0,3,17.3,3686400,240,10
21999000,7,14.0,20.0,1.8,4.8,64,4,5.0,512,1,0.0,3,15.6,2073600,144,11
19999000,7,8.0,12.0,4.4,4.4,64,4,5.0,512,1,0.0,3,15.6,2073600,144,11
124999000,7,24.0,32.0,5.6,5.6,64,5,5.0,2048,1,24.0,3,16.0,6400000,165,11
51799000,7,20.0,28.0,1.5,5.3,32,5,5.0,1024,1,12.0,3,16.0,4096000,240,11
29599000,7,16.0,22.0,0.9,4.8,16,5,5.0,512,1,0.0,3,15.6,2073600,144,11
84990000,7,24.0,32.0,5.5,5.5,64,5,5.0,2048,1,12.0,3,16.0,4096000,120,11
77990000,7,24.0,32.0,1.5,5.2,64,5,5.0,2048,1,12.0,1,16.0,9216000,60,11
44999000,7,24.0,32.0,1.5,5.2,32,5,5.0,1024,1,8.0,3,16.0,4096000,165,11
124999000,7,24.0,32.0,1.5,5.2,32,5,5.0,2048,1,16.0,2,16.0,4096000,240,11
104799000,7,24.0,32.0,1.5,5.4,32,5,5.0,4096,1,24.0,3,18.0,4096000,250,11
26799000,7,6.0,12.0,4.6,4.6,64,5,5.0,512,1,0.0,3,15.6,2138400,360,11
19599000,7,8.0,12.0,4.4,4.4,64,4,5.0,512,1,0.0,3,15.6,2073600,144,11
23999000,7,10.0,16.0,4.9,4.9,64,5,5.0,512,1,0.0,3,15.6,2073600,144,11
89990000,7,24.0,32.0,1.5,5.4,32,5,5.0,2048,1,24.0,3,16.0,4096000,240,11
78799000,7,24.0,32.0,1.5,5.4,32,5,5.0,2048,1,16.0,3,16.0,4096000,250,11
24799000,7,14.0,20.0,1.8,4.8,64,5,5.0,512,1,8.0,3,15.6,2073600,144,11
74999000,7,16.0,22.0,1.8,5.1,32,5,5.0,1024,1,12.0,1,0.0,3686400,240,11
63999000,7,16.0,22.0,1.8,5.1,32,5,5.0,1024,1,8.0,3,16.0,4096000,240,11
126999000,7,24.0,32.0,1.5,5.2,32,5,5.0,2048,1,16.0,2,18.0,4096000,240,11
