Name,VRAM
4090,24
4080 SUPER,16
4080,16
4070 Ti SUPER,16
4070 Ti,12
4070 SUPER,12
4070,12
4060 Ti,16
4060,8
3090 Ti,24
3090,24
3080 Ti,12
3080,12
3070 Ti,8
3070,8
3060 Ti,8
3060,12
3050(8 GB),8
3050(6 GB),6
2080 Ti,11
2080 Super,8
2080,8
2070 Super,8
2070,8
2060 Super,8
2060,12
1660 Ti,6
1660 Super,6
1660,6
1650 Super,4
1650 (G5),4
1650 (G6),4
1630,4
