Price,Link,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,IGPU Cloock,Display Type,Display Size,Display Resolution,Display Frequency,Display Color,OS
14999000,https://hacom.vn/laptop-lenovo-ideapad-slim-3-15iah8-83er000fvn-i5-12450h-16gb-ram-1tb-ssd-15.6-fhd-win11-xam,i5-12450H,7,8.0,12.0,12,4.4,4.4,16GB,LPDDR5,5.0,1TB,SSD,,,,IPS,"15.6""",1920X1080,,,11
21989000,https://hacom.vn/laptop-acer-travelmate-p4-tmp414-51-50hx-nxvp2sv00t-win-11-xanh-nhom,i5-1135G7,10,4.0,8.0,8,0.9,4.2,32GB,DDR4,4.0,512GB,SSD,,,,IPS,14.0 INCH,1920x1080,,,0
29499000,https://hacom.vn/laptop-lenovo-thinkpad-p16s-g1-21bt005sva-i5-1240p-24gb-ram-512gb-ssd-16-wuxga-t550-4gb-dos-den,i5-1240P,7,12.0,16.0,12,4.4,4.4,32GB,DDR4,5.0,512GB,SSD,,,,IPS,"16""",1920X1200,60HZ,100% SRGB,0
22799000,https://hacom.vn/laptop-asus-vivobook-s3405va-km071w-i9-13900h-16gb-ram-512gb-ssd-14-2.8k-oled-win11-den,i9-13900,7,24.0,32.0,36,1.5,5.2,16GB,DDR4,5.0,512GB,SSD,,,,IPS,"14""",2880 X 1800,90HZ,DCI-P3:100%,11
15999000,https://hacom.vn/laptop-dell-inspiron-3530-n3530-i5u085w11slu-i5-1335u-8gb-512gb-ssd-15.6-inch-fhd-120hz-win11-officehs21-bac,i5-1335U,7,10.0,12.0,12,4.6,4.6,8GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920 X 1080,120HZ,,11
26999000,https://hacom.vn/laptop-lenovo-thinkpad-t14-gen-4-i5-1335u-16gb-ram-512gb-ssd-14-wuxga-dos-den,i5-1335U,7,10.0,12.0,12,4.6,4.6,48GB,DDR5,5.0,512GB,SSD,,,,IPS,14.0INCH,1920X1200,60HZ,,0
12999000,https://hacom.vn/laptop-lenovo-thinkpad-e14-g4-21e300dsva-i7-1255u-8gb-ram-512gb-ssd-14.0-fhd-dos-den,i7-1255U,7,10.0,12.0,12,4.7,4.7,8GB,DDR4,5.0,512GB,SSD,,,,IPS,14 INCH,1920X1080,,45% NTSC,0
21499000,https://hacom.vn/laptop-hp-pavilion-15-eg3112tu-8u6l9pa-i7-1355u-16gb-ram-512gb-ssd-15.6-fhd-win11-bac,i7-1355U,7,10.0,12.0,12,5.0,5.0,16GB,DDR4,5.0,512GB,SSD,,,,IPS,"15.6""",1920 X 1080,60HZ,",45% NTSC",11
23990000,https://hacom.vn/laptop-msi-modern-15-a11m-1023vn-i5-1155g7-8gb-ram-512gb-ssd-15.6-inch-fhd-win11-vo-nhom-xam,i5-1155G7,10,4.0,8.0,8,1.0,4.5,64GB,DDR4,4.0,512GB,SSD,,,,IPS,15.6-INCH,1920x1080,60HZ,,0
29499000,https://hacom.vn/laptop-lenovo-thinkpad-p14s-g3-21ak006tva-i5-1240p-24gb-ram-512gb-ssd-14-2.2k-t550-4gb-dos-den,i5-1240P,7,12.0,16.0,12,4.4,4.4,32GB,DDR4,5.0,512GB,SSD,,,,IPS,"14""",2240X1400,60HZ,100% SRGB,0
22699000,https://hacom.vn/laptop-asus-vivobook-tp3402va-lz118w-i9-13900h-16gb-ram-512gb-ssd-14-cam-ung-win11-bac,i9-13900,7,24.0,32.0,36,1.5,5.2,16GB,DDR4,5.0,512GB,SSD,,,,IPS,14.0-INCH,1920 X 1200,,45% NTSC,11
48999000,https://hacom.vn/laptop-asus-zenbook-duo-ux8406ma-pz307w-ultra7-155h-16gb-ram-512b-ssd-14-3k-cam-ung-win11-xam-but-tui-cap,155H,0,16.0,22.0,24,0.9,4.8,16GB,LPDDR5,5.0,512GB,SSD,,,,OLED,14 INCH,2880 X 1800,120HZ,100% DCI-P3,11
