Price,Link,CPU Name,RAM,Memory Type,Storage,Storage Type,GPU Name,GPU VRAM,PSU,Cooler,OS,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,Max DDR Support,Base Clock,Max Clock,IGPU Clock
11999000,https://hacom.vn/pc-lenovo-thinkcentre-neo-50t-gen-4-i5-13400-8gb-ram-256gb-ssd-wl-bt-k-m-no-os-12jb001gva,i5-13400,8GB,DDR4,256GB,HDD,,,180W,Fan,0,7,10.0,16.0,20,5.0,1.8,4.6,1000
16799000,https://hacom.vn/bo-mini-pc-asus-intel-nuc13-pro-tall-nuc13anhi7-i7-1360p-2xddr4-3200-3xnvme-sata-2x-hdmi-2.1-2x-dp-1.4a-vesa-mount-90ab3anh-mr8100,i7-1360P,64GB,DDR4,256GB,HDD,,,40W,Fan,10,7,12.0,16.0,18,5.0,5.0,5.0,1000
16499000,https://hacom.vn/pc-hp-all-in-one-200-pro-g4-i5-1235u-8gb-ram-256gb-ssd-21.5-inch-fhd-wl-bt-k-m-win-11-74s24pa,i5-1235U,8GB,DDR4,256GB,HDD,,,65 W,Fan,11,7,10.0,12.0,12,5.0,4.4,4.4,1000
17499000,https://hacom.vn/pc-hacom-trader-t006-i5-12400f-b760-16gb-ram-500gb-ssd-2x-nvidia-t400-4gb-550w,i5-12400,16GB,DDR4,500GB,SSD,,,550W,Fan,0,7,6.0,12.0,18,5.0,4.4,4.4,1000
11899000,https://hacom.vn/pc-hp-pro-tower-400-g9-i3-13100-8gb-ram-512g-ssd-wl-bt-k-m-win11-9h1t1pt,i3-13100,8GB,DDR4,512GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.5,4.5,1000
14510000,https://hacom.vn/pc-acer-veriton-x2690g-i5-12400-8gb-512g-ssd-wl-k-m-black-dos,i5-12400,8GB,,512GB,SSD,,,,Fan,0,7,6.0,12.0,18,5.0,4.4,4.4,1000
10499000,https://hacom.vn/pc-hp-pro-mini-400-g9-9h1u4pt-i3-13100t-4gb-ram-256gb-ssd-wl-bt-k-m-win11,i3-13100,4GB,DDR4,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.5,4.5,1000
43899000,https://hacom.vn/workstation-dell-precision-3660-tower-i7-12700-16gb-ram-256gb-ssd-1tb-dvdrw-t1000-4gb-k-m-300w-psu-win-11-pro-71010148,i7-12700,16GB,,256GB,HDD,,,300W,Fan,11,7,12.0,20.0,25,5.0,1.6,4.8,1000
56499000,https://hacom.vn/workstation-dell-precision-3660-tower-i9-12900-16gb-2x8gb-ram-256-ssd-nvme-1tb-hdd-dvdrw-nvidia-rtx-a2000-12gb-k-m-42pt3660d17,i9-12900,16GB,,1TB,HDD,,,,Fan,0,7,16.0,24.0,30,5.0,1.8,5.0,1000
16399000,https://hacom.vn/pc-hacom-business-i7137-16s5-v2-i7-13700-b760-16gb-ram-500gb,i7-13700,16GB,,500GB,SSD,,,,Fan,0,7,16.0,24.0,30,5.0,1.5,5.1,1000
9999000,https://hacom.vn/pc-lenovo-thinkcentre-neo-50t-gen-4-i3-13100-8gb-ram-512gb-ssd-wl-bt-k-m-no-os-12jb001eva,i3-13100,8GB,DDR4,512GB,HDD,,,180W,Fan,0,7,4.0,8.0,12,5.0,4.5,4.5,1000
17699000,https://hacom.vn/pc-hp-m01-f2030d-i7-12700-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-76t98pa,i7-12700,8GB,DDR4,256GB,HDD,,,,Fan,11,7,12.0,20.0,25,5.0,1.6,4.8,1000
23299000,https://hacom.vn/pc-hacom-live-stream-ls017-i5-13400f-b760-16gb-ram-500gb-ssd-rtx-4060-8gb-650w,i5-13400,16GB,DDR4,500GB,SSD,4060,8.0,650W,Fan,0,7,10.0,16.0,20,5.0,1.8,4.6,1000
13399000,https://hacom.vn/pc-hp-280-pro-tower-g9-i5-12500-8gb-ram-256gb-ssd-wl-bt-k-m-win11-9e812pt,i5-12500,8GB,DDR4,256GB,HDD,,,,Fan,11,7,6.0,12.0,18,5.0,4.6,4.6,1000
9899000,https://hacom.vn/pc-hp-pro-mini-260-g9-9h092pt-i3-1315u-8gb-ram-256gb-ssd-wl-bt-k-m-win11,i3-1315U,8GB,DDR4,256GB,SSD,,,65 W,Fan,11,7,6.0,8.0,10,5.0,4.5,4.5,1000
45499000,https://hacom.vn/pc-hacom-studio-nvidia-h1-i7-14700-rtx-4070,i7-14700,32GB,DDR5,1TB,SSD,4070,12.0,750W,Liquid,0,7,20.0,28.0,33,5.0,1.5,5.3,1000
15999000,https://hacom.vn/pc-lenovo-thinkcentre-aio-neo-30a-27-gen-3,i7-1260P,16GB,DDR4,512GB,SSD,,,,Fan,0,7,12.0,16.0,18,5.0,4.7,4.7,1000
25699000,https://hacom.vn/pc-hp-proone-440-g9-aio-i7-12700t-16gb-ram-512gb-ssd-23.8-fhd-touch-k-m-win11-den-6m3y4pa,i7-12700,16GB,DDR4,512GB,SSD,,,120W,Fan,11,7,12.0,20.0,25,5.0,1.6,4.8,1000
15899000,https://hacom.vn/pc-hp-all-in-one-proone-240-g10-8w8k0pa-i5-1335u-8gb-ram-256gb-ssd-23.8-inch-fhd-wl-bt-k-m-win11,i5-1335U,8GB,DDR4,256GB,SSD,,,,Fan,11,7,10.0,12.0,12,5.0,4.6,4.6,1000
22499000,https://hacom.vn/pc-mini-msi-cubi-5-i7-1255u-16gb-ram-512gb-ssd-wl-bt-win-11-pro-den,i7-1255U,16GB,DDR4,512GB,HDD,,,,Fan,11,7,10.0,12.0,12,5.0,4.7,4.7,1000
12599000,https://hacom.vn/pc-hacom-designer-d134-i5-10400f-b560-16gb-ram-500gb-ssd-gtx-1660-super-550w,i5-10400,16GB,DDR4,500GB,SSD,1660,6.0,550W,Fan,0,14,6.0,12.0,12,4.0,2.9,4.3,1000
51499000,https://hacom.vn/workstation-asus-pro-e500-g6-1070k-022z-i7-10700k-16gb-ram-512gb-ssd-rtx3070-90sf0181-m00a20,i7-10700,16GB,,512GB,SSD,3070,8.0,,Fan,0,14,8.0,16.0,16,4.0,2.9,4.8,1000
13499000,https://hacom.vn/pc-hp-280-pro-g9-sff-9e564pt-i5-12500-8gb-ram-512gb-ssd-wl-bt-k-m-win-11,i5-12500,8GB,DDR4,512GB,HDD,,,180 W,Fan,11,7,6.0,12.0,18,5.0,4.6,4.6,1000
13899000,https://hacom.vn/pc-hp-prodesk-400-g9-i5-13500-8gb-ram-256g-ssd-wl-bt-k-m-win11-9h1t2pt,i5-13500,8GB,DDR4,256GB,SSD,,,,Fan,11,7,14.0,20.0,24,5.0,1.8,4.8,1000
10499000,https://hacom.vn/pc-asus-s501md-312100044w-i3-12100-4gb-ram-256gb-ssd-wl-bt-k-m-win-11-90pf0381-m00cx0,i3-12100,4GB,,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.3,4.3,1000
20199000,https://hacom.vn/pc-dell-vostro-3020-i7-13700-8gb-ram-512gb-ssd-wl-bt-k-m-win11-mti72062w1-8g-512g,i7-13700,8GB,DDR4,512GB,SSD,,,180W,Fan,11,7,16.0,24.0,30,5.0,1.5,5.1,1000
