UPE | Compare Intel® Products
05/06/2024 10:47:20 AM
,Intel® Core™ i7-8650U Processor (8M Cache- up to 4.20 GHz)

Essentials
Product Collection,8th Generation Intel® Core™ i7 Processors
Code Name,Products formerly Kaby Lake R
Vertical Segment,Mobile
Processor Number,i7-8650U
Lithography,14 nm
Recommended Customer Price,$409.00

CPU Specifications
Total Cores,4
Total Threads,8
Max Turbo Frequency,4.20 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,4.20 GHz
Processor Base Frequency,1.90 GHz
Cache,8 MB Intel® Smart Cache
Bus Speed,4 GT/s
TDP,15 W
Configurable TDP-up Base Frequency,2.10 GHz
Configurable TDP-up,25 W
Configurable TDP-down Base Frequency,800 MHz
Configurable TDP-down,10 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q3'17
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),32 GB
Memory Types,DDR4-2400 |  LPDDR3-2133
Max # of Memory Channels,2
Max Memory Bandwidth,37.5 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics 620
Graphics Base Frequency,300 MHz
Graphics Max Dynamic Frequency,1.15 GHz
Graphics Video Max Memory,32 GB
Graphics Output,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096 x 2304@24Hz
Max Resolution (DP)‡,4096 x 2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304@60Hz
DirectX* Support,12
OpenGL* Support,4.4
Intel® Quick Sync Video,Yes
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3
Device ID,0x5917

Expansion Options
PCI Express Revision,3.0
PCI Express Configurations ‡,1x4 |  2x2 |  1x2+2x1 and 4x1
Max # of PCI Express Lanes,12

Package Specifications
Sockets Supported,FCBGA1356 | FC-BGA1356
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,42mm X 24mm

Advanced Technologies
Intel® Optane™ Memory Supported ‡,Yes
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,Yes
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Intel® My WiFi Technology,Yes
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes
Intel® Identity Protection Technology ‡,Yes
Intel® Smart Response Technology,Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Intel® Stable IT Platform Program (SIPP),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/124968/intel-core-i78650u-processor-8m-cache-up-to-4-20-ghz/specifications.html
